CityPart,MaxFloor,Area,Rooms,Bedrooms,LastFloor,Floor,PRICE (GEL),Status,Electrical Points,Condition,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher
Avlabarshi,6.0,120.0,4.0,3.0,0.0,2.0,692861.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,8.0,60.0,2.0,1.0,0.0,3.0,475493.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,22.0,203.0,5.0,3.0,0.0,18.0,1086840.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Gldanshi,6.0,46.0,3.0,2.0,0.0,4.0,149984.0,Under Construction,1.0,Ongoing Renovation,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Gldanshi,10.0,42.0,3.0,2.0,0.0,5.0,108412.0,Under Construction,1.0,Ongoing Renovation,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,29.0,62.5,2.0,1.0,0.0,9.0,461907.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,8.0,180.0,4.0,3.0,0.0,3.0,978156.0,Newly Constructed,3.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vashlijvarshi,9.0,77.9,3.0,2.0,0.0,3.0,211662.0,Newly Constructed,1.0,White Frame,,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,5.0,180.0,4.0,2.0,0.0,4.0,8939259.0,Old Constructed,2.0,Old Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Ortachalashi,7.0,92.2,4.0,2.0,0.0,2.0,421151.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Didubeshi,25.0,57.9,2.0,1.0,0.0,11.0,218675.0,Under Construction,1.0,White Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,25.0,69.7,2.0,1.0,0.0,11.0,263241.0,Under Construction,1.0,White Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,25.0,58.7,2.0,1.0,0.0,11.0,221696.0,Under Construction,1.0,White Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,25.0,56.8,2.0,1.0,0.0,11.0,214520.0,Under Construction,1.0,White Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,25.0,58.0,2.0,1.0,0.0,11.0,219053.0,Under Construction,1.0,White Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Bagebshi,12.0,60.0,2.0,1.0,0.0,6.0,339638.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Nadzaladevshi,12.0,80.6,2.0,1.0,0.0,6.0,269368.0,Newly Constructed,,White Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,22.0,87.0,3.0,2.0,0.0,12.0,377677.0,Newly Constructed,1.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,10.0,117.0,4.0,3.0,0.0,3.0,317629.0,Old Constructed,1.0,Needs Renovation,,1.0,0,0,0,0,0,0,0,0,0,0
Ortachalashi,14.0,110.5,4.0,3.0,0.0,3.0,419792.0,Newly Constructed,,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Nutsubidzis Ferdobze,12.0,82.7,4.0,2.0,0.0,1.0,224704.0,Newly Constructed,1.0,Ongoing Renovation,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,21.0,72.0,2.0,1.0,0.0,18.0,638519.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,21.0,127.0,3.0,2.0,0.0,10.0,964571.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Chughuretshi,2.0,127.0,2.0,1.0,1.0,2.0,380394.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Nutsubidzis Ferdobze,12.0,90.0,3.0,2.0,0.0,11.0,404848.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vashlijvarshi,6.0,211.35,4.0,3.0,0.0,4.0,1437346.0,Under Construction,3.0,White Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,7.0,383.0,7.0,4.0,0.0,6.0,707261.0,Old Constructed,2.0,Old Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,9.0,160.0,4.0,3.0,0.0,5.0,489078.0,Old Constructed,3.0,Newly Renovated,Gas Heater,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,20.0,60.9,2.0,1.0,0.0,13.0,225519.0,Under Construction,1.0,Black Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,20.0,71.7,2.0,1.0,0.0,2.0,249973.0,Under Construction,1.0,Black Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,20.0,104.7,3.0,2.0,0.0,7.0,307032.0,Under Construction,2.0,Black Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Veraze,5.0,65.0,1.0,,1.0,5.0,421151.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,5.0,90.0,3.0,2.0,0.0,2.0,459190.0,Old Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
